Volume Added/ml,pH
0,3.27
1.5,3.71
4,4.21
6,4.47
7.05,4.57
8.1,4.7
9.05,4.82
10.5,5.03
11.7,5.25
12.5,5.44
13,5.59
13.05,5.62
13.1,5.63
13.15,5.65
13.2,5.68
13.25,5.7
13.3,5.7
13.35,5.73
13.4,5.78
13.45,5.79
13.5,5.81
13.6,5.87
13.65,5.89
13.7,5.95
13.75,5.98
13.85,6.05
13.9,6.1
14,6.24
14.05,6.31
14.1,6.47
14.15,6.57
14.2,6.75
14.25,6.99
14.3,7.37
14.35,8.43
14.4,9.08
14.45,9.45
14.5,9.72
14.6,10.01
14.7,10.16
14.75,10.24
14.8,10.32
14.85,10.39
14.9,10.46
14.95,10.51
15,10.57
15.5,10.84
16.05,11.03
17.05,11.21
18,11.36
20,11.52
