1000,0,8706,0:00:00.003002
1000,0,55175,0:00:00.017998
1000,0,120432,0:00:00.035996
1000,0,718120,0:00:00.206003
1000,0,1535820,0:00:00.447003
1000,0,8835477,0:00:02.550026
1000,0,18669938,0:00:05.337133
1000,0,105025868,0:00:30.667709
1000,0,220043887,0:01:04.267767
5000,0,8708,0:00:00.003514
5000,0,55177,0:00:00.016000
5000,0,120418,0:00:00.035023
5000,0,718226,0:00:00.199570
5000,0,1536443,0:00:00.429004
5000,0,8836637,0:00:02.590997
5000,0,18673194,0:00:05.517033
5000,0,105045098,0:00:31.794776
5000,0,220090794,0:01:07.077155
10000,0,8712,0:00:00.003991
10000,0,55188,0:00:00.015993
10000,0,120485,0:00:00.036006
10000,0,718259,0:00:00.199001
10000,0,1536514,0:00:00.433014
10000,0,8837701,0:00:02.563065
10000,0,18673271,0:00:05.472218
10000,0,105048982,0:00:32.128113
10000,0,220098501,0:01:07.809996
50000,0,8721,0:00:00.002999
50000,0,55217,0:00:00.017000
50000,0,120484,0:00:00.035000
50000,0,718138,0:00:00.197921
50000,0,1536283,0:00:00.433980
50000,0,8838176,0:00:02.595615
50000,0,18674386,0:00:05.533980
50000,0,105051447,0:00:32.103434
50000,0,220097901,0:01:07.915467
100000,0,8665,0:00:00.002994
100000,0,55240,0:00:00.016724
100000,0,120380,0:00:00.034491
100000,0,718211,0:00:00.199100
100000,0,1536662,0:00:00.431041
100000,0,8837608,0:00:02.575025
100000,0,18673932,0:00:05.541668
100000,0,105052575,0:00:32.157275
100000,0,220100722,0:01:08.313420
500000,0,8707,0:00:00.003970
500000,0,55221,0:00:00.016994
500000,0,120480,0:00:00.035990
500000,0,718315,0:00:00.202038
500000,0,1536548,0:00:00.432525
500000,0,8837089,0:00:02.588128
500000,0,18674311,0:00:05.536541
500000,0,105049647,0:00:32.140698
500000,0,220097869,0:01:08.043918
1000000,0,8690,0:00:00.002000
1000000,0,55238,0:00:00.016990
1000000,0,120498,0:00:00.035994
1000000,0,718304,0:00:00.200936
1000000,0,1536738,0:00:00.430013
1000000,0,8837223,0:00:02.570539
1000000,0,18674398,0:00:05.514210
1000000,0,105050915,0:00:32.036717
1000000,0,220097674,0:01:08.038996
5000000,0,8716,0:00:00.003003
5000000,0,55220,0:00:00.017005
5000000,0,120488,0:00:00.036049
5000000,0,718040,0:00:00.198329
5000000,0,1536360,0:00:00.423015
5000000,0,8837297,0:00:02.554843
5000000,0,18674408,0:00:05.465013
5000000,0,105050841,0:00:31.948951
5000000,0,220099969,0:01:09.074513
10000000,0,8704,0:00:00.003042
10000000,0,55250,0:00:00.016238
10000000,0,120475,0:00:00.034996
10000000,0,718163,0:00:00.198250
10000000,0,1536429,0:00:00.427020
10000000,0,8837040,0:00:02.569404
10000000,0,18674307,0:00:05.581113
10000000,0,105053361,0:00:31.814539
10000000,0,220098704,0:01:07.970063
1000,5,8776,0:00:00.002000
1000,5,55691,0:00:00.015009
1000,5,121633,0:00:00.030999
1000,5,718487,0:00:00.182125
1000,5,1536830,0:00:00.387344
1000,5,8863735,0:00:02.269027
1000,5,18723181,0:00:04.846958
1000,5,105525954,0:00:27.842124
1000,5,221047988,0:00:59.077475
5000,5,8771,0:00:00.001996
5000,5,55864,0:00:00.014999
5000,5,121489,0:00:00.030539
5000,5,718333,0:00:00.184020
5000,5,1536673,0:00:00.394008
5000,5,8863880,0:00:02.342506
5000,5,18727466,0:00:04.987831
5000,5,105549998,0:00:29.107120
5000,5,221099228,0:01:01.910255
10000,5,8745,0:00:00.003001
10000,5,55677,0:00:00.014003
10000,5,121532,0:00:00.030010
10000,5,718348,0:00:00.185000
10000,5,1536780,0:00:00.391031
10000,5,8863855,0:00:02.342577
10000,5,18727342,0:00:05.013096
10000,5,105552661,0:00:29.708935
10000,5,221105207,0:01:02.482110
50000,5,8757,0:00:00.001999
50000,5,55835,0:00:00.014014
50000,5,121482,0:00:00.031019
50000,5,718325,0:00:00.187020
50000,5,1536964,0:00:00.397652
50000,5,8863974,0:00:02.353577
50000,5,18727548,0:00:05.076151
50000,5,105552257,0:00:29.471245
50000,5,221105592,0:01:03.962704
100000,5,8755,0:00:00.002999
100000,5,55768,0:00:00.014017
100000,5,121649,0:00:00.030998
100000,5,718532,0:00:00.182970
100000,5,1536716,0:00:00.394026
100000,5,8863381,0:00:02.384020
100000,5,18728249,0:00:05.122636
